name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms
the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,,5deqOCwIaLPld1dCj4FqRM,spotify:track:5deqOCwIaLPld1dCj4FqRM,0.895,0.701,0.253,0.0287,0.105,-10.759,0.0374,139.653,0.161,21.0,219268.0
cardigan - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,2.0,1bdZ8KOFXEqI4nPR2mErtl,spotify:track:1bdZ8KOFXEqI4nPR2mErtl,0.88,0.395,0.234,,0.107,-9.704,0.0382,86.478,,24.0,230680.0
the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],,3.0,09Ez3CZ2kXszZwYoyKpYH9,spotify:track:09Ez3CZ2kXszZwYoyKpYH9,0.747,0.642,0.623,0.00767,0.0542,-11.76,0.041,147.936,0.536,27.0,233773.0
exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,4.0,7bFqfMKnKsZJH9FytUXg3E,spotify:track:7bFqfMKnKsZJH9FytUXg3E,0.848,0.359,0.305,,,-10.295,0.0306,151.956,0.108,57.0,279893.0
my tears ricochet - the long pond studio sessions,,11/25/2020,5.0,5JWgJQPrAD6LJbS8ILpy8i,spotify:track:5JWgJQPrAD6LJbS8ILpy8i,0.946,0.531,0.172,,0.0615,-12.34,0.0351,129.007,0.168,25.0,295173.0
mirrorball - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,6.0,3Z76GkyDvIAewkgwWvixpc,spotify:track:3Z76GkyDvIAewkgwWvixpc,,0.509,0.386,3.45e-05,0.118,-8.434,,109.993,0.109,29.0,237373.0
seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,7.0,7cPrz6ZMELLtuV8739mvE3,spotify:track:7cPrz6ZMELLtuV8739mvE3,0.914,0.694,0.449,0.000126,0.1,-11.49,0.0301,,0.363,28.0,208986.0
august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,8.0,4Sj0m6AOQRgczw8Q4Q6jb0,spotify:track:4Sj0m6AOQRgczw8Q4Q6jb0,0.5,0.554,0.663,4.77e-05,0.791,-8.961,0.0324,,0.545,24.0,260000.0
this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,9.0,,,0.928,0.435,0.332,0.000898,0.0867,-11.611,0.031,68.097,0.157,27.0,209293.0
illicit affairs - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],,10.0,,spotify:track:3Qc5EXc8KGy8Z0f8yGKYDW,0.883,0.489,,0.0,,-10.274,0.0356,117.699,0.435,22.0,183720.0
invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,11.0,1FRF7olkTDWPwHf5JwYudq,spotify:track:1FRF7olkTDWPwHf5JwYudq,0.942,0.59,0.282,4.85e-06,0.11,-10.542,0.0281,83.438,0.351,21.0,257359.0
mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],,12.0,1Io0cp5dOYJWCKpCBDopdM,spotify:track:1Io0cp5dOYJWCKpCBDopdM,0.903,0.666,0.457,0.000102,0.118,-10.46,0.0405,141.849,0.343,18.0,
,,11/25/2020,13.0,0Zm4whQzxgdgh5kNW1budX,,0.916,0.524,0.2,0.000392,0.068,-13.004,0.0274,93.87,0.113,18.0,274880.0
betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,14.0,7ojfyws0WASED96XBzRbd6,spotify:track:7ojfyws0WASED96XBzRbd6,0.844,0.581,0.313,0.0,0.18,-9.597,0.0298,95.802,0.542,18.0,
,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,15.0,38aA4mjtRF8ZNXWoCg1XOa,spotify:track:38aA4mjtRF8ZNXWoCg1XOa,0.934,,0.355,6.3e-05,0.0745,-11.068,,149.897,0.519,17.0,213013.0
hoax - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,,39z0Ktcc9Zvnim7C3YXvpC,spotify:track:39z0Ktcc9Zvnim7C3YXvpC,0.962,0.682,,0.0,0.18,-13.083,0.0394,,0.483,18.0,221800.0
the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],11/25/2020,17.0,2BDBBNaWZf2ueZwp4h52b2,,0.794,0.606,0.221,0.0,0.0888,-11.767,0.0468,89.844,0.112,,199733.0
the 1,folklore (deluxe version),8/18/2020,1.0,4pfrrhvplbJZAIsfosGWQP,spotify:track:4pfrrhvplbJZAIsfosGWQP,0.75,0.78,0.361,7.14e-06,0.108,,0.048,,0.163,67.0,
cardigan,,8/18/2020,2.0,0KRYCBwIpWYFNrXOmXbyUh,spotify:track:0KRYCBwIpWYFNrXOmXbyUh,0.525,,,0.000414,0.26,-8.572,0.0419,130.045,0.534,69.0,
,folklore (deluxe version),8/18/2020,,2olxzvoFI9IpxqFeUv7WOX,spotify:track:2olxzvoFI9IpxqFeUv7WOX,0.481,0.688,0.653,0.00414,0.106,-8.558,0.0403,147.991,0.701,66.0,231000.0
exile (feat. Bon Iver),folklore (deluxe version),8/18/2020,4.0,5S4aYQAJOwJMAamANWlICO,spotify:track:5S4aYQAJOwJMAamANWlICO,0.761,0.31,0.374,2.46e-05,0.11,-8.464,0.0275,75.938,0.16,67.0,285640.0
,folklore (deluxe version),8/18/2020,5.0,5P2bHCDM2tsgIaYWsZMhu5,spotify:track:5P2bHCDM2tsgIaYWsZMhu5,0.814,0.456,0.265,0.0,0.0679,-10.663,,129.947,0.112,67.0,255893.0
mirrorball,,8/18/2020,6.0,2I8YAEA1VmCuP1wkJHMpTw,spotify:track:2I8YAEA1VmCuP1wkJHMpTw,0.686,,,,0.0604,-10.064,0.035,110.137,,66.0,
,folklore (deluxe version),8/18/2020,7.0,76mOLcXOjOEhyY4mMF1l3r,spotify:track:76mOLcXOjOEhyY4mMF1l3r,0.888,0.602,0.494,2.59e-05,0.0902,-10.813,0.0277,94.955,,65.0,
august,folklore (deluxe version),8/18/2020,8.0,6nK2pIKFcRc5frrZKHgsiT,spotify:track:6nK2pIKFcRc5frrZKHgsiT,0.553,0.387,0.634,,0.0931,-9.222,0.0363,,0.42,67.0,261920.0
this is me trying,folklore (deluxe version),8/18/2020,9.0,7cm50Lw03k6VvRauJtkyTj,spotify:track:7cm50Lw03k6VvRauJtkyTj,0.312,0.511,0.478,2.3e-05,0.147,-9.837,0.0322,135.882,0.408,,
,folklore (deluxe version),,10.0,6DrLROM5MG9bxWHeEG5elq,spotify:track:6DrLROM5MG9bxWHeEG5elq,0.862,0.529,0.304,0.0,0.108,-10.567,0.0356,,0.44,65.0,190893.0
invisible string,folklore (deluxe version),8/18/2020,11.0,2ehRU518I0hYqMGQnk4lDY,,0.859,0.651,0.459,6.63e-05,0.105,,0.0507,83.455,,,252880.0
mad woman,folklore (deluxe version),8/18/2020,12.0,0RP1kqoSPkVXsKiQNhMKzV,spotify:track:0RP1kqoSPkVXsKiQNhMKzV,,,,6.77e-06,0.116,-9.016,,141.898,0.451,63.0,237266.0
epiphany,,8/18/2020,,1EXa37LpSvi3OQ9UYQ28rD,spotify:track:1EXa37LpSvi3OQ9UYQ28rD,,0.317,0.254,0.000326,0.0867,,0.0286,93.933,0.103,62.0,
betty,folklore (deluxe version),8/18/2020,14.0,3IhtE4fkytdrtEfV34UzkD,spotify:track:3IhtE4fkytdrtEfV34UzkD,0.589,0.595,,0.0,,-8.767,0.0256,95.946,0.476,64.0,294520.0
peace,,8/18/2020,15.0,6JlI8Ay77m4nJvZTHvfT1J,spotify:track:6JlI8Ay77m4nJvZTHvfT1J,0.916,0.644,0.284,1.5e-05,0.0909,-12.879,0.0821,150.072,0.328,62.0,234000.0
hoax,folklore (deluxe version),8/18/2020,16.0,0YeDG5HnKnG7jpArkzsSPa,spotify:track:0YeDG5HnKnG7jpArkzsSPa,0.964,0.676,,7.9e-06,0.135,-15.01,,,0.404,62.0,220040.0
the lakes - bonus track,folklore (deluxe version),8/18/2020,17.0,0eFQWVz0qIxDOvhLpZ40P7,spotify:track:0eFQWVz0qIxDOvhLpZ40P7,0.842,0.313,0.258,1.3e-06,0.0948,,,179.947,,66.0,211813.0
the 1,folklore (deluxe version),8/17/2020,1.0,5WWzC95Mqp3OYgJCHwjHdY,spotify:track:5WWzC95Mqp3OYgJCHwjHdY,0.764,0.765,0.348,1.01e-05,0.108,-6.963,,140.016,,33.0,210251.0
cardigan,folklore (deluxe version),8/17/2020,2.0,1PybBpkSEB46GS1TF9n3e3,spotify:track:1PybBpkSEB46GS1TF9n3e3,,0.613,,0.000345,,-8.588,0.0424,130.033,0.551,32.0,239560.0
the last great american dynasty,folklore (deluxe version),8/17/2020,3.0,1oyvfXXSKGurQV68wZq8aK,spotify:track:1oyvfXXSKGurQV68wZq8aK,0.473,0.684,0.661,0.00215,0.109,,0.0407,147.909,0.713,31.0,230999.0
exile (feat. Bon Iver),folklore (deluxe version),8/17/2020,4.0,160aOpD0QnQdUHBbWbojTx,,,0.298,0.38,5.62e-05,0.11,-8.426,0.0287,75.602,0.152,28.0,285634.0
my tears ricochet,folklore (deluxe version),8/17/2020,5.0,4Ue1tL32N8J4Y2WhcAWlgk,spotify:track:4Ue1tL32N8J4Y2WhcAWlgk,0.806,0.469,0.263,0.0,0.0749,-10.63,0.0329,129.86,0.112,29.0,255893.0
mirrorball,,8/17/2020,6.0,,spotify:track:3zBBJ6LVn8Y9JnDrnPxvMC,0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,,,30.0,208977.0
seven,folklore (deluxe version),8/17/2020,7.0,55FiXQZgp3NChLYhYC1rnj,spotify:track:55FiXQZgp3NChLYhYC1rnj,0.9,0.596,0.488,2.7e-05,0.091,-10.769,0.0274,94.922,,27.0,208906.0
august,folklore (deluxe version),8/17/2020,8.0,5jkmNosiv4Tt9JRP8JqT59,spotify:track:5jkmNosiv4Tt9JRP8JqT59,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,,,29.0,261922.0
this is me trying,folklore (deluxe version),8/17/2020,9.0,5LRDGLySkHo4G0l32jU2cB,spotify:track:5LRDGLySkHo4G0l32jU2cB,0.314,,,4.74e-05,0.171,-9.843,0.0328,135.886,0.412,29.0,195097.0
illicit affairs,folklore (deluxe version),8/17/2020,10.0,2gmCOqKc5sc72rtRnhrbKa,spotify:track:2gmCOqKc5sc72rtRnhrbKa,0.881,0.559,0.31,0.0,0.106,-10.445,,119.845,0.46,28.0,
invisible string,folklore (deluxe version),8/17/2020,11.0,,spotify:track:2Uoesc7DCQIE58OECSTYtF,0.838,0.653,0.452,7.73e-05,0.108,-11.143,0.055,83.433,,27.0,252880.0
mad woman,folklore (deluxe version),,12.0,3EPwQ6nq2dQEeoRqnm1boe,spotify:track:3EPwQ6nq2dQEeoRqnm1boe,0.649,0.596,0.709,9.92e-06,0.114,-8.938,0.0431,141.978,0.533,26.0,237258.0
epiphany,folklore (deluxe version),8/17/2020,13.0,0b7rims1HOMhXJVCly981N,spotify:track:0b7rims1HOMhXJVCly981N,0.731,0.175,0.267,0.000402,0.0858,-13.69,0.0302,94.203,0.106,25.0,289749.0
betty,,8/17/2020,14.0,7w0hHA41usBpo8isfAtl1g,spotify:track:7w0hHA41usBpo8isfAtl1g,0.544,0.59,0.379,0.0,0.0983,-8.717,,96.029,0.467,30.0,294521.0
peace,folklore (deluxe version),,,,,0.918,0.651,0.269,2.17e-05,,-12.912,0.0983,150.033,0.334,29.0,234000.0
hoax,folklore (deluxe version),8/17/2020,16.0,,spotify:track:6S5C2Cdmzn9bxlmLQYoXyU,0.966,0.662,0.181,3.86e-06,0.133,-15.065,0.0415,,,25.0,220042.0
the lakes - bonus track,,8/17/2020,17.0,5dwQhzeE8LXpl9sbZJZmQS,spotify:track:5dwQhzeE8LXpl9sbZJZmQS,0.85,0.509,,1.68e-06,0.0851,-11.531,0.0311,89.846,0.287,,211798.0
the 1,folklore,7/24/2020,1.0,0Jlcvv8IykzHaSmj49uNW8,,0.757,,0.357,7.28e-06,0.108,-6.942,0.0522,,0.172,76.0,210251.0
cardigan,,,2.0,4R2kfaDFhslZEMJqAFNpdd,spotify:track:4R2kfaDFhslZEMJqAFNpdd,0.537,0.613,0.581,0.000345,0.25,-8.588,0.0424,,0.551,83.0,239560.0
the last great american dynasty,,7/24/2020,3.0,2Eeur20xVqfUoM3Q7EFPFt,,,0.686,0.662,0.0023,0.109,,0.0413,147.922,0.706,70.0,
exile (feat. Bon Iver),folklore,7/24/2020,4.0,,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,0.778,0.298,0.38,5.62e-05,,,0.0287,75.602,,79.0,285634.0
my tears ricochet,folklore,7/24/2020,5.0,1MgV7FIyNxIG7WzMRJV5HC,spotify:track:1MgV7FIyNxIG7WzMRJV5HC,0.806,0.456,0.263,0.0,0.0749,-10.63,0.0332,129.86,,75.0,255893.0
mirrorball,folklore,7/24/2020,6.0,0ZNU020wNYvgW84iljPkPP,spotify:track:0ZNU020wNYvgW84iljPkPP,0.687,0.553,0.413,2.33e-06,0.0594,-10.037,0.0334,110.107,0.379,75.0,208977.0
seven,,7/24/2020,7.0,6KJqZcs9XDgVck7Lg9QOTC,spotify:track:6KJqZcs9XDgVck7Lg9QOTC,,0.596,0.488,2.7e-05,0.091,,0.0274,94.926,0.415,,208906.0
august,folklore,7/24/2020,8.0,,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,0.0331,89.937,0.403,84.0,261922.0
this is me trying,,,9.0,7kt9e9LFSpN1zQtYEl19o1,,0.314,0.515,0.476,,0.171,-9.843,0.0328,,0.412,74.0,195097.0
,folklore,7/24/2020,10.0,2NmsngXHeC1GQ9wWrzhOMf,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,0.881,0.559,0.31,0.0,0.106,-10.445,0.0338,119.845,,72.0,190898.0
invisible string,folklore,7/24/2020,11.0,6VsvKPJ4xjVNKpI8VVZ3SV,spotify:track:6VsvKPJ4xjVNKpI8VVZ3SV,0.838,0.653,,7.73e-05,,-11.143,0.055,83.433,0.45,71.0,252880.0
mad woman,folklore,7/24/2020,12.0,2QDyYdZyhlP2fp79KZX8Bi,spotify:track:2QDyYdZyhlP2fp79KZX8Bi,,,0.699,1.68e-05,0.114,-8.995,0.0471,141.916,0.506,66.0,237258.0
epiphany,folklore,7/24/2020,13.0,08fa9LFcFBTcilB3iq2e2A,spotify:track:08fa9LFcFBTcilB3iq2e2A,0.731,0.354,0.267,0.000402,0.0858,-13.69,0.0281,94.219,0.113,65.0,289749.0
betty,folklore,7/24/2020,,5kI4eCXXzyuIUXjQra0Cxi,,0.6,0.593,,0.0,0.0976,-8.761,0.0253,95.939,0.502,71.0,294521.0
peace,folklore,7/24/2020,,7MbT4I8qGntX4fMdqMQgke,spotify:track:7MbT4I8qGntX4fMdqMQgke,0.918,,0.272,1.73e-05,0.0918,-12.906,0.0916,150.044,0.339,66.0,234000.0
hoax,folklore,,16.0,,spotify:track:6MWoRt97mnSTXZhu3ggi9C,0.966,,0.181,3.86e-06,0.133,-15.065,0.0415,,0.429,66.0,220042.0
the 1,folklore,7/24/2020,1.0,2b4dRZGflAQT7ZbFwOclyP,spotify:track:2b4dRZGflAQT7ZbFwOclyP,0.764,0.765,0.348,1.01e-05,,,0.0579,,0.171,42.0,210251.0
cardigan,folklore,7/24/2020,2.0,4LEK9rD7TWIG4FCL1s27XC,spotify:track:4LEK9rD7TWIG4FCL1s27XC,,0.613,0.581,0.000345,0.25,-8.588,0.0424,130.033,,49.0,239560.0
,folklore,7/24/2020,3.0,,spotify:track:2MnzNhe3pPExotEbZpeXnh,0.473,0.684,0.661,0.00215,0.109,-8.507,0.0407,147.909,0.713,39.0,
exile (feat. Bon Iver),folklore,7/24/2020,4.0,59HA1SBz1DPCCvdDeILV7E,spotify:track:59HA1SBz1DPCCvdDeILV7E,0.778,0.298,0.38,,0.11,-8.426,0.0287,75.602,,47.0,285634.0
my tears ricochet,folklore,,5.0,1DnpjwTbSwV2V6O4PABMjW,spotify:track:1DnpjwTbSwV2V6O4PABMjW,0.806,0.456,0.263,0.0,0.0749,-10.63,0.0332,129.86,0.111,39.0,255893.0
mirrorball,folklore,7/24/2020,6.0,5L4sr95Nw2hcJ7nQh7ksUN,spotify:track:5L4sr95Nw2hcJ7nQh7ksUN,,0.553,0.413,2.33e-06,0.0594,-10.037,,110.107,0.379,38.0,208977.0
seven,folklore,7/24/2020,7.0,79qUTP8YabHY2asciytR4o,spotify:track:79qUTP8YabHY2asciytR4o,0.9,0.596,,2.7e-05,0.091,-10.769,0.0274,94.926,0.415,36.0,
august,folklore,7/24/2020,,1X2cYhcDMfDtiRIYHZCpQu,spotify:track:1X2cYhcDMfDtiRIYHZCpQu,0.538,0.532,0.623,7.28e-05,0.0925,-9.208,,89.937,0.403,,261922.0
this is me trying,folklore,7/24/2020,9.0,,spotify:track:0j5renyfv1ChCoe1ca7bDP,,0.515,0.476,4.74e-05,0.171,-9.843,0.0328,135.886,0.412,42.0,195097.0
illicit affairs,folklore,7/24/2020,10.0,7pv3FIt9AxFME58yM1ROwZ,spotify:track:7pv3FIt9AxFME58yM1ROwZ,,0.559,0.31,0.0,0.106,,0.0338,119.845,0.46,38.0,190898.0
invisible string,folklore,7/24/2020,11.0,3yz88FVJQhwG2EqYHw3pkx,spotify:track:3yz88FVJQhwG2EqYHw3pkx,0.838,0.653,0.452,7.73e-05,0.108,-11.143,0.055,83.433,0.45,47.0,252880.0
mad woman,folklore,7/24/2020,12.0,5sSudVJ80OUYU35dhkfGz1,spotify:track:5sSudVJ80OUYU35dhkfGz1,0.649,0.596,0.709,9.92e-06,0.114,-8.938,0.0431,141.978,0.533,37.0,237258.0
epiphany,,7/24/2020,13.0,1tcoNYqpAYXbSGMlNUl0eE,spotify:track:1tcoNYqpAYXbSGMlNUl0eE,0.731,0.354,0.267,0.000402,0.0858,-13.69,,94.219,0.113,34.0,289749.0
betty,folklore,,14.0,0x3CUvkL4jUPYVONrYUubR,spotify:track:0x3CUvkL4jUPYVONrYUubR,,,0.379,0.0,0.0983,-8.717,0.0255,96.029,,,294521.0
peace,folklore,7/24/2020,15.0,6rTUr8OpU5kcSqLGL2TmyR,,0.918,,0.269,2.17e-05,0.0918,-12.912,0.0983,150.033,0.334,43.0,
,folklore,7/24/2020,16.0,6G61EqJgoEJhWaBT34jMyW,spotify:track:6G61EqJgoEJhWaBT34jMyW,0.966,0.662,0.181,3.86e-06,0.133,-15.065,0.0415,118.819,0.429,34.0,220042.0
,Lover,8/23/2019,1.0,43rA71bccXFGD4C8GOpIlN,spotify:track:43rA71bccXFGD4C8GOpIlN,0.298,0.664,,2.03e-06,0.0812,,0.519,92.875,0.541,72.0,170640.0
,Lover,8/23/2019,2.0,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,0.117,,0.702,2.06e-05,,-5.707,,169.994,0.564,84.0,
Lover,Lover,8/23/2019,3.0,1dGr1c8CrMLDpV6mPbImSI,spotify:track:1dGr1c8CrMLDpV6mPbImSI,0.492,0.359,0.543,1.58e-05,0.118,-7.582,0.0919,68.534,0.453,84.0,221306.0
The Man,Lover,,4.0,3RauEVgRgj1IuWdJ9fDs70,spotify:track:3RauEVgRgj1IuWdJ9fDs70,0.0767,0.777,,0.0,,-5.191,,110.048,,78.0,190360.0
The Archer,Lover,8/23/2019,5.0,3pHkh7d0lzM2AldUtz2x37,spotify:track:3pHkh7d0lzM2AldUtz2x37,0.12,0.292,0.574,0.00569,0.0663,-9.375,0.0401,124.344,0.166,71.0,211240.0
I Think He Knows,Lover,8/23/2019,6.0,2YWtcWi3a83pdEg3Gif4Pd,spotify:track:2YWtcWi3a83pdEg3Gif4Pd,0.00889,0.897,,,0.0715,-8.029,0.0569,100.003,0.416,,173386.0
Miss Americana & The Heartbreak Prince,Lover,8/23/2019,7.0,214nt20w5wOxJnY462klLw,spotify:track:214nt20w5wOxJnY462klLw,0.028,0.662,0.747,0.00615,0.138,-6.926,,150.088,0.487,71.0,234146.0
Paper Rings,Lover,8/23/2019,,4y5bvROuBDPr5fuwXbIBZR,,0.0129,0.811,0.719,,0.0742,-6.553,0.0497,103.979,0.865,81.0,222400.0
Cornelia Street,Lover,8/23/2019,9.0,12M5uqx0ZuwkpLp5rJim1a,spotify:track:12M5uqx0ZuwkpLp5rJim1a,0.781,0.824,0.624,0.000189,0.1,-9.728,0.0827,102.012,0.248,,287266.0
,Lover,8/23/2019,10.0,,spotify:track:2dgFqt3w9xIQRjhPtwNk3D,0.454,0.712,0.732,0.0,0.319,-6.754,0.0629,94.071,0.313,73.0,198533.0
,Lover,,,,spotify:track:1LLXZFeAHK9R4xUramtUKw,,0.695,0.71,,0.133,-6.639,0.05,157.925,0.557,74.0,190240.0
Soon You’ll Get Better (feat. The Chicks),,8/23/2019,12.0,4AYtqFyFbX0Xkc2wtcygTr,spotify:track:4AYtqFyFbX0Xkc2wtcygTr,0.907,0.433,,,,-12.566,0.0641,207.476,0.421,66.0,201586.0
False God,Lover,8/23/2019,13.0,5hQSXkFgbxjZo9uCwd11so,spotify:track:5hQSXkFgbxjZo9uCwd11so,0.736,0.739,0.32,0.000147,0.111,-10.862,0.239,79.97,0.351,71.0,200306.0
You Need To Calm Down,Lover,8/23/2019,14.0,6RRNNciQGZEXnqk8SQ9yv5,,0.00929,,0.671,0.0,0.0637,-5.617,0.0553,,0.714,76.0,171360.0
Afterglow,Lover,8/23/2019,15.0,1SymEzIT3H8UZfibCs3TYi,spotify:track:1SymEzIT3H8UZfibCs3TYi,,0.756,0.449,0.0,0.114,-8.746,0.0344,111.011,0.399,76.0,223293.0
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,,16.0,2Rk4JlNc2TPmZe2af99d45,spotify:track:2Rk4JlNc2TPmZe2af99d45,0.033,0.61,0.83,0.0,0.118,-4.105,0.0571,182.162,0.728,76.0,193000.0
It’s Nice To Have A Friend,Lover,8/23/2019,17.0,1SmiQ65iSAbPto6gPFlBYm,spotify:track:1SmiQ65iSAbPto6gPFlBYm,0.971,0.737,0.175,0.000337,0.171,-9.912,0.0401,70.008,,67.0,150440.0
Daylight,Lover,8/23/2019,18.0,1fzAuUVbzlhZ1lJAx9PtY6,spotify:track:1fzAuUVbzlhZ1lJAx9PtY6,0.808,0.557,0.496,0.000173,0.0772,,0.0563,149.983,0.265,73.0,
...Ready For It? - Karaoke Version,Taylor Swift Karaoke: reputation,3/9/2018,1.0,4twNUyTpLMPWokYmCdFDCH,spotify:track:4twNUyTpLMPWokYmCdFDCH,,0.606,0.814,0.264,0.193,-8.128,0.0716,160.004,0.191,20.0,207173.0
End Game - Karaoke Version,,3/9/2018,2.0,4cag67C3v9ToeFivUwDUsE,spotify:track:4cag67C3v9ToeFivUwDUsE,0.000908,0.746,0.528,0.443,0.0713,-6.304,0.0449,159.043,0.0719,15.0,243826.0
I Did Something Bad - Karaoke Version,Taylor Swift Karaoke: reputation,3/9/2018,3.0,2hecdut2HWM5JMHqLTWThq,spotify:track:2hecdut2HWM5JMHqLTWThq,0.169,0.756,0.517,0.158,0.0588,-7.517,0.194,83.01,0.178,,238253.0
,Taylor Swift Karaoke: reputation,3/9/2018,4.0,5JtXBqKLdfzwedmlUjjqAm,spotify:track:5JtXBqKLdfzwedmlUjjqAm,0.211,0.55,0.456,0.532,0.0291,-7.122,0.038,,0.0764,26.0,236413.0
Delicate - Karaoke Version,Taylor Swift Karaoke: reputation,3/9/2018,5.0,5Iadj8IBPrt634WW0yGPRI,,,0.714,0.332,0.148,,-12.043,0.0505,94.999,0.0429,18.0,232253.0
Look What You Made Me Do - Karaoke Version,,3/9/2018,6.0,1zz0XSmHCFd57ne04UAp38,spotify:track:1zz0XSmHCFd57ne04UAp38,0.0228,0.764,0.373,0.224,0.112,-9.283,0.0546,,0.0709,21.0,
So It Goes... - Karaoke Version,Taylor Swift Karaoke: reputation,3/9/2018,7.0,5oJUjUsBZcqyEhOdpif37h,spotify:track:5oJUjUsBZcqyEhOdpif37h,0.072,,,,0.202,-10.173,0.045,76.84,0.25,13.0,227906.0
Gorgeous - Karaoke Version,Taylor Swift Karaoke: reputation,3/9/2018,8.0,3ZHTwJzCNDFvjLpVQiqpH6,spotify:track:3ZHTwJzCNDFvjLpVQiqpH6,0.036,0.76,0.462,0.467,0.266,-7.646,0.0484,92.03,0.335,16.0,209680.0
Getaway Car - Karaoke Version,Taylor Swift Karaoke: reputation,3/9/2018,9.0,7bdyzcQ0onk60hfsxDCd2X,spotify:track:7bdyzcQ0onk60hfsxDCd2X,,0.497,0.682,0.768,,-8.663,0.043,172.06,0.158,20.0,233626.0
King Of My Heart - Karaoke Version,Taylor Swift Karaoke: reputation,3/9/2018,10.0,5EsfyTD26nlVQ0DtYo16uJ,spotify:track:5EsfyTD26nlVQ0DtYo16uJ,0.00256,,0.622,,0.038,-9.626,,110.028,0.145,15.0,214333.0
,Taylor Swift Karaoke: reputation,3/9/2018,11.0,3ZfvKQxJp4zZshiJsRPoD1,spotify:track:3ZfvKQxJp4zZshiJsRPoD1,0.0844,0.426,0.529,,,-7.953,,75.958,0.217,17.0,211493.0
Dress - Karaoke Version,,3/9/2018,12.0,2k0w1FGqvzVPgQ9VdTaJpe,spotify:track:2k0w1FGqvzVPgQ9VdTaJpe,0.0348,0.682,,0.0205,0.217,-11.087,0.0387,120.029,0.0383,14.0,230386.0
This Is Why We Can't Have Nice Things - Karaoke Version,Taylor Swift Karaoke: reputation,3/9/2018,13.0,0MtU9ETYyVX8YPBDCYPdMb,spotify:track:0MtU9ETYyVX8YPBDCYPdMb,0.00927,0.594,0.757,0.000236,0.401,-5.384,0.0572,163.948,,16.0,
Call It What You Want - Karaoke Version,Taylor Swift Karaoke: reputation,3/9/2018,14.0,1VPHQriwOsy5aGHLwwZyho,spotify:track:1VPHQriwOsy5aGHLwwZyho,0.0943,0.594,0.454,0.705,0.755,-13.01,0.0401,164.028,0.139,,202173.0
New Year's Day - Karaoke Version,Taylor Swift Karaoke: reputation,3/9/2018,15.0,13tYZVTtzLUJTlM7m1ivbi,spotify:track:13tYZVTtzLUJTlM7m1ivbi,,0.452,0.0639,2.91e-05,0.137,-16.349,0.0471,94.963,0.0767,14.0,235506.0
,reputation,11/10/2017,1.0,2yLa0QULdQr0qAIvVwN6B5,,0.0527,0.613,,0.0,0.197,-6.509,0.136,160.015,0.417,75.0,208186.0
End Game,reputation,,2.0,,spotify:track:2x0WlnmfG39ZuDmstl9xfX,0.00845,0.649,0.589,0.0,0.108,,0.0558,159.073,0.151,73.0,244826.0
I Did Something Bad,reputation,11/10/2017,,4svZDCRz4cJoneBpjpx8DJ,spotify:track:4svZDCRz4cJoneBpjpx8DJ,0.0679,0.696,0.602,2.11e-05,0.0696,-6.156,0.159,82.989,0.305,76.0,238253.0
Don’t Blame Me,reputation,,,1R0a2iXumgCiFb7HEZ7gUE,spotify:track:1R0a2iXumgCiFb7HEZ7gUE,0.106,0.615,0.534,1.76e-05,0.0607,-6.719,0.0386,,0.193,87.0,236413.0
